ppm,intensity
12.21383555,6.40088E-06
12.21354925,9.79965E-06
12.21326294,1.1615E-05
12.21297663,7.93428E-06
12.21269033,-1.22842E-06
12.21240402,-9.07004E-06
12.21211772,-8.50841E-06
12.21183141,-8.775E-07
12.2115451,4.73021E-06
12.2112588,1.50656E-06
12.21097249,-7.41726E-06
12.21068618,-1.27264E-05
12.21039988,-9.64967E-06
12.21011357,-2.8829E-06
12.20982726,1.71122E-07
12.20954096,-1.04771E-06
12.20925465,-6.13375E-07
12.20896834,4.57018E-06
12.20868204,9.97626E-06
12.20839573,9.50934E-06
12.20810942,3.00712E-06
12.20782312,-4.49306E-06
12.20753681,-8.34741E-06
12.2072505,-7.08469E-06
12.2069642,-2.18837E-06
12.20667789,2.61831E-06
12.20639159,4.00865E-06
12.20610528,2.68665E-06
12.20581897,2.09891E-06
12.20553267,2.77082E-06
12.20524636,1.88459E-06
12.20496005,-1.86233E-07
12.20467375,1.47462E-06
12.20438744,7.62092E-06
12.20410113,1.03719E-05
12.20381483,3.36116E-06
12.20352852,-7.50667E-06
12.20324221,-1.06006E-05
12.20295591,-4.24177E-06
12.2026696,1.49637E-06
12.20238329,-8.59204E-07
12.20209699,-7.15302E-06
12.20181068,-9.85133E-06
12.20152437,-9.23401E-06
12.20123807,-1.06308E-05
12.20095176,-1.3668E-05
12.20066545,-1.14109E-05
12.20037915,-1.01006E-06
12.20009284,1.06625E-05
12.19980654,1.51188E-05
12.19952023,1.2203E-05
12.19923392,8.36822E-06
12.19894762,7.72703E-06
12.19866131,8.84403E-06
12.198375,8.87518E-06
12.1980887,6.81925E-06
12.19780239,2.99526E-06
12.19751608,-1.42072E-06
12.19722978,-4.13829E-06
12.19694347,-3.35655E-06
12.19665716,1.25664E-07
12.19637086,3.66344E-06
12.19608455,5.30233E-06
